date,layer.name,layer.depth_m,layer.temp_c
6/3/81,cline_top,2.5,8.7045
6/3/81,cline_bottom,26.5,8.7715
6/3/81,bottom,45.5,8.6835
6/4/81,surface,1,8.693
6/4/81,cline_top,2.5,8.7045
6/4/81,cline_bottom,26.5,8.7715
6/4/81,bottom,45.5,8.6835
6/5/81,surface,1,8.693
6/5/81,cline_top,2.5,8.7045
6/5/81,cline_bottom,26.5,8.7715
6/5/81,bottom,45.5,8.6835
6/6/81,surface,1,8.693
6/6/81,cline_top,2.5,8.7045
6/6/81,cline_bottom,26.5,8.7715
6/6/81,bottom,45.5,8.6835
6/7/81,surface,1,8.693
6/7/81,cline_top,2.5,8.7045
6/7/81,cline_bottom,26.5,8.7715
6/7/81,bottom,45.5,8.6835
6/8/81,surface,1,8.693
6/8/81,cline_top,2.5,8.7045
6/8/81,cline_bottom,26.5,8.7715
6/8/81,bottom,45.5,8.6835
6/9/81,surface,1,8.693
6/9/81,cline_top,2.5,8.7045
6/9/81,cline_bottom,26.5,8.7715
6/9/81,bottom,45.5,8.6835
6/10/81,surface,1,8.693
6/10/81,cline_top,2.5,8.7045
6/10/81,cline_bottom,26.5,8.7715
6/10/81,bottom,45.5,8.6835
6/11/81,surface,1,8.693
6/11/81,cline_top,2.5,8.7045
6/11/81,cline_bottom,26.5,8.7715
6/11/81,bottom,45.5,8.6835
6/12/81,surface,1,8.693
6/12/81,cline_top,2.5,8.7045
6/12/81,cline_bottom,26.5,8.7715
6/12/81,bottom,45.5,8.6835
6/13/81,surface,1,8.693
6/13/81,cline_top,2.5,8.7045
6/13/81,cline_bottom,26.5,8.7715
6/13/81,bottom,45.5,8.6835
6/14/81,surface,1,8.693
6/14/81,cline_top,2.5,8.7045
6/14/81,cline_bottom,26.5,8.7715
6/14/81,bottom,45.5,8.6835
6/15/81,surface,1,8.693
6/15/81,cline_top,2.5,8.7045
6/15/81,cline_bottom,26.5,8.7715
6/15/81,bottom,45.5,8.6835
6/16/81,surface,1,8.693
6/16/81,cline_top,2.5,8.7045
6/16/81,cline_bottom,26.5,8.7715
6/16/81,bottom,45.5,8.6835
6/17/81,surface,1,8.693
6/17/81,cline_top,2.5,8.7045
6/17/81,cline_bottom,26.5,8.7715
6/17/81,bottom,45.5,8.6835
6/18/81,surface,1,8.693
6/18/81,cline_top,2.5,8.7045
6/18/81,cline_bottom,26.5,8.7715
6/18/81,bottom,45.5,8.6835
6/19/81,surface,1,8.693
6/19/81,cline_top,2.5,8.7045
6/19/81,cline_bottom,26.5,8.7715
6/19/81,bottom,45.5,8.6835
6/20/81,surface,1,8.693
6/20/81,cline_top,2.5,8.7045
6/20/81,cline_bottom,26.5,8.7715
6/20/81,bottom,45.5,8.6835
6/21/81,surface,1,8.693
6/21/81,cline_top,2.5,8.7045
6/21/81,cline_bottom,26.5,8.7715
6/21/81,bottom,45.5,8.6835
6/22/81,surface,1,8.693
6/22/81,cline_top,2.5,8.7045
6/22/81,cline_bottom,26.5,8.7715
6/22/81,bottom,45.5,8.6835
6/23/81,surface,1,8.693
6/23/81,cline_top,2.5,8.7045
6/23/81,cline_bottom,26.5,8.7715
6/23/81,bottom,45.5,8.6835
6/24/81,surface,1,8.693
6/24/81,cline_top,2.5,8.7045
6/24/81,cline_bottom,26.5,8.7715
6/24/81,bottom,45.5,8.6835
6/25/81,surface,1,8.693
6/25/81,cline_top,2.5,8.7045
6/25/81,cline_bottom,26.5,8.7715
6/25/81,bottom,45.5,8.6835
6/26/81,surface,1,8.693
6/26/81,cline_top,2.5,8.7045
6/26/81,cline_bottom,26.5,8.7715
6/26/81,bottom,45.5,8.6835
6/27/81,surface,1,8.693
6/27/81,cline_top,2.5,8.7045
6/27/81,cline_bottom,26.5,8.7715
6/27/81,bottom,45.5,8.6835
6/28/81,surface,1,8.693
6/28/81,cline_top,2.5,8.7045
6/28/81,cline_bottom,26.5,8.7715
6/28/81,bottom,45.5,8.6835
6/29/81,surface,1,8.693
6/29/81,cline_top,2.5,8.7045
6/29/81,cline_bottom,26.5,8.7715
6/29/81,bottom,45.5,8.6835
6/30/81,surface,1,8.693
6/30/81,cline_top,2.5,8.7045
6/30/81,cline_bottom,26.5,8.7715
6/30/81,bottom,45.5,8.6835
7/1/81,surface,1,8.693
7/1/81,cline_top,2.5,8.7045
7/1/81,cline_bottom,26.5,8.7715
7/1/81,bottom,45.5,8.6835
7/2/81,surface,1,8.693
